Wavelength,Al,Am,As
390,-0.93379,-1.0479,-0.13385
395,-0.89477,-0.99737,-0.09075
400,-0.88346,-0.97071,-0.0499
405,-0.90163,-0.97422,-0.02576
410,-0.91541,-0.97112,-0.00926
415,-0.94085,-0.9623,-0.00238
420,-0.95489,-0.93984,-3e-05
425,-0.95756,-0.89896,-0.00547
430,-0.95359,-0.85645,-0.02225
435,-0.93902,-0.80274,-0.05
440,-0.92675,-0.76267,-0.08115
445,-0.90407,-0.71587,-0.12009
450,-0.87342,-0.66754,-0.1667
455,-0.8335,-0.61743,-0.23983
460,-0.78013,-0.55431,-0.31463
465,-0.72114,-0.49235,-0.40119
470,-0.66428,-0.43737,-0.51694
475,-0.61223,-0.39247,-0.66272
480,-0.55146,-0.34047,-0.81657
485,-0.48714,-0.28496,-0.96832
490,-0.42894,-0.23781,-1.13208
495,-0.36178,-0.18206,-1.28916
500,-0.30399,-0.13844,-1.45859
505,-0.2499,-0.09801,-1.65743
510,-0.20069,-0.06439,-1.88089
515,-0.15585,-0.03834,-2.08698
520,-0.10935,-0.00948,-2.29299
525,-0.07711,0.0,-2.50132
530,-0.05499,-0.00367,-2.71463
535,-0.0332,-0.00825,-2.92459
540,-0.00946,-0.01459,-3.14134
545,0.0,-0.03704,-3.36041
550,-0.00396,-0.07306,-3.58132
555,-0.00144,-0.10546,-3.80348
560,-0.00553,-0.14855,-4.02353
565,-0.01383,-0.1966,-4.24415
570,-0.028,-0.25538,-4.46335
575,-0.05189,-0.32506,-4.68031
580,-0.08632,-0.40844,-4.89433
585,-0.11133,-0.49035,-5.10375
590,-0.146,-0.5788,-5.30914
595,-0.18983,-0.67909,-5.50995
600,-0.23784,-0.78679,-5.70383
605,-0.29291,-0.90539,-5.89362
610,-0.35607,-1.03047,-6.07699
615,-0.42682,-1.16171,-6.25482
620,-0.50264,-1.29891,
625,-0.58334,-1.44247,
630,-0.68087,-1.59094,
635,-0.78537,-1.74439,
640,-0.89178,-1.90327,
645,-0.99863,-2.06748,
650,-1.12017,-2.22219,
655,-1.25234,-2.38712,
660,-1.38794,-2.55821,
665,-1.52676,-2.72867,
670,-1.67004,-2.89245,
675,-1.81845,-3.05604,
680,-1.97248,-3.22105,
685,-2.13249,-3.3887,
690,-2.29941,-3.5602,
695,-2.46026,-3.72423,
700,-2.62094,-3.88522,
705,-2.78302,-4.04716,
710,-2.95024,-4.21252,
715,-3.11779,-4.37575,
720,-3.28148,-4.53499,
725,-3.44462,-4.69279,
730,-3.60461,-4.847,
735,-3.76398,-5.00024,
740,-3.92373,-5.1522,
745,-4.07815,-5.29757,
750,-4.23309,-5.44366,
755,-4.3856,-5.58742,
760,-4.53587,-5.72846,
765,-4.68548,-5.86949,
770,-4.8323,-6.00833,
775,-4.97979,-6.14754,
780,-5.12256,-6.28158,
